split,pair_id,sar_path,target_path
train,1_r0000_c0000_orig,data/processed/patches/sar/1_r0000_c0000_orig.png,data/processed/patches/rgb/1_r0000_c0000_orig.png
train,1_r0000_c0000_fliph,data/processed/patches/sar/1_r0000_c0000_fliph.png,data/processed/patches/rgb/1_r0000_c0000_fliph.png
train,1_r0000_c0000_flipv,data/processed/patches/sar/1_r0000_c0000_flipv.png,data/processed/patches/rgb/1_r0000_c0000_flipv.png
train,1_r0000_c0000_rot90,data/processed/patches/sar/1_r0000_c0000_rot90.png,data/processed/patches/rgb/1_r0000_c0000_rot90.png
train,1_r0000_c0000_rot180,data/processed/patches/sar/1_r0000_c0000_rot180.png,data/processed/patches/rgb/1_r0000_c0000_rot180.png
train,1_r0000_c0000_rot270,data/processed/patches/sar/1_r0000_c0000_rot270.png,data/processed/patches/rgb/1_r0000_c0000_rot270.png
train,1_r0000_c0128_orig,data/processed/patches/sar/1_r0000_c0128_orig.png,data/processed/patches/rgb/1_r0000_c0128_orig.png
train,1_r0000_c0128_fliph,data/processed/patches/sar/1_r0000_c0128_fliph.png,data/processed/patches/rgb/1_r0000_c0128_fliph.png
train,1_r0000_c0128_flipv,data/processed/patches/sar/1_r0000_c0128_flipv.png,data/processed/patches/rgb/1_r0000_c0128_flipv.png
train,1_r0000_c0128_rot90,data/processed/patches/sar/1_r0000_c0128_rot90.png,data/processed/patches/rgb/1_r0000_c0128_rot90.png
train,1_r0000_c0128_rot180,data/processed/patches/sar/1_r0000_c0128_rot180.png,data/processed/patches/rgb/1_r0000_c0128_rot180.png
train,1_r0000_c0128_rot270,data/processed/patches/sar/1_r0000_c0128_rot270.png,data/processed/patches/rgb/1_r0000_c0128_rot270.png
train,1_r0000_c0256_orig,data/processed/patches/sar/1_r0000_c0256_orig.png,data/processed/patches/rgb/1_r0000_c0256_orig.png
train,1_r0000_c0256_fliph,data/processed/patches/sar/1_r0000_c0256_fliph.png,data/processed/patches/rgb/1_r0000_c0256_fliph.png
train,1_r0000_c0256_flipv,data/processed/patches/sar/1_r0000_c0256_flipv.png,data/processed/patches/rgb/1_r0000_c0256_flipv.png
train,1_r0000_c0256_rot90,data/processed/patches/sar/1_r0000_c0256_rot90.png,data/processed/patches/rgb/1_r0000_c0256_rot90.png
train,1_r0000_c0256_rot180,data/processed/patches/sar/1_r0000_c0256_rot180.png,data/processed/patches/rgb/1_r0000_c0256_rot180.png
train,1_r0000_c0256_rot270,data/processed/patches/sar/1_r0000_c0256_rot270.png,data/processed/patches/rgb/1_r0000_c0256_rot270.png
train,1_r0000_c0384_orig,data/processed/patches/sar/1_r0000_c0384_orig.png,data/processed/patches/rgb/1_r0000_c0384_orig.png
train,1_r0000_c0384_fliph,data/processed/patches/sar/1_r0000_c0384_fliph.png,data/processed/patches/rgb/1_r0000_c0384_fliph.png
train,1_r0000_c0384_flipv,data/processed/patches/sar/1_r0000_c0384_flipv.png,data/processed/patches/rgb/1_r0000_c0384_flipv.png
train,1_r0000_c0384_rot90,data/processed/patches/sar/1_r0000_c0384_rot90.png,data/processed/patches/rgb/1_r0000_c0384_rot90.png
train,1_r0000_c0384_rot180,data/processed/patches/sar/1_r0000_c0384_rot180.png,data/processed/patches/rgb/1_r0000_c0384_rot180.png
train,1_r0000_c0384_rot270,data/processed/patches/sar/1_r0000_c0384_rot270.png,data/processed/patches/rgb/1_r0000_c0384_rot270.png
train,1_r0000_c0512_orig,data/processed/patches/sar/1_r0000_c0512_orig.png,data/processed/patches/rgb/1_r0000_c0512_orig.png
train,1_r0000_c0512_fliph,data/processed/patches/sar/1_r0000_c0512_fliph.png,data/processed/patches/rgb/1_r0000_c0512_fliph.png
train,1_r0000_c0512_flipv,data/processed/patches/sar/1_r0000_c0512_flipv.png,data/processed/patches/rgb/1_r0000_c0512_flipv.png
train,1_r0000_c0512_rot90,data/processed/patches/sar/1_r0000_c0512_rot90.png,data/processed/patches/rgb/1_r0000_c0512_rot90.png
train,1_r0000_c0512_rot180,data/processed/patches/sar/1_r0000_c0512_rot180.png,data/processed/patches/rgb/1_r0000_c0512_rot180.png
train,1_r0000_c0512_rot270,data/processed/patches/sar/1_r0000_c0512_rot270.png,data/processed/patches/rgb/1_r0000_c0512_rot270.png
train,1_r0000_c0640_orig,data/processed/patches/sar/1_r0000_c0640_orig.png,data/processed/patches/rgb/1_r0000_c0640_orig.png
train,1_r0000_c0640_fliph,data/processed/patches/sar/1_r0000_c0640_fliph.png,data/processed/patches/rgb/1_r0000_c0640_fliph.png
train,1_r0000_c0640_flipv,data/processed/patches/sar/1_r0000_c0640_flipv.png,data/processed/patches/rgb/1_r0000_c0640_flipv.png
train,1_r0000_c0640_rot90,data/processed/patches/sar/1_r0000_c0640_rot90.png,data/processed/patches/rgb/1_r0000_c0640_rot90.png
train,1_r0000_c0640_rot180,data/processed/patches/sar/1_r0000_c0640_rot180.png,data/processed/patches/rgb/1_r0000_c0640_rot180.png
train,1_r0000_c0640_rot270,data/processed/patches/sar/1_r0000_c0640_rot270.png,data/processed/patches/rgb/1_r0000_c0640_rot270.png
train,1_r0000_c0768_orig,data/processed/patches/sar/1_r0000_c0768_orig.png,data/processed/patches/rgb/1_r0000_c0768_orig.png
train,1_r0000_c0768_fliph,data/processed/patches/sar/1_r0000_c0768_fliph.png,data/processed/patches/rgb/1_r0000_c0768_fliph.png
train,1_r0000_c0768_flipv,data/processed/patches/sar/1_r0000_c0768_flipv.png,data/processed/patches/rgb/1_r0000_c0768_flipv.png
train,1_r0000_c0768_rot90,data/processed/patches/sar/1_r0000_c0768_rot90.png,data/processed/patches/rgb/1_r0000_c0768_rot90.png
train,1_r0000_c0768_rot180,data/processed/patches/sar/1_r0000_c0768_rot180.png,data/processed/patches/rgb/1_r0000_c0768_rot180.png
train,1_r0000_c0768_rot270,data/processed/patches/sar/1_r0000_c0768_rot270.png,data/processed/patches/rgb/1_r0000_c0768_rot270.png
train,1_r0000_c0896_orig,data/processed/patches/sar/1_r0000_c0896_orig.png,data/processed/patches/rgb/1_r0000_c0896_orig.png
train,1_r0000_c0896_fliph,data/processed/patches/sar/1_r0000_c0896_fliph.png,data/processed/patches/rgb/1_r0000_c0896_fliph.png
train,1_r0000_c0896_flipv,data/processed/patches/sar/1_r0000_c0896_flipv.png,data/processed/patches/rgb/1_r0000_c0896_flipv.png
train,1_r0000_c0896_rot90,data/processed/patches/sar/1_r0000_c0896_rot90.png,data/processed/patches/rgb/1_r0000_c0896_rot90.png
train,1_r0000_c0896_rot180,data/processed/patches/sar/1_r0000_c0896_rot180.png,data/processed/patches/rgb/1_r0000_c0896_rot180.png
train,1_r0000_c0896_rot270,data/processed/patches/sar/1_r0000_c0896_rot270.png,data/processed/patches/rgb/1_r0000_c0896_rot270.png
train,1_r0000_c1024_orig,data/processed/patches/sar/1_r0000_c1024_orig.png,data/processed/patches/rgb/1_r0000_c1024_orig.png
